DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/10;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Residenze;1;14
01/11/10;01508;Milano - Università Vita-Salute San Raffaele;01 ;Mense;0;0
01/11/10;01508;Milano - Università Vita-Salute San Raffaele;02 ;Residenze;1;27
01/11/10;01509;Milano-Bicocca - Università degli studi;01 ;Mense;3;412
01/11/10;01509;Milano-Bicocca - Università degli studi;02 ;Residenze;0;0
01/11/10;01510;"Milano - Università telematica internazionale ""UNITEL""";01 ;Mense;0;0
01/11/10;01510;"Milano - Università telematica internazionale ""UNITEL""";02 ;Residenze;0;0
01/11/10;01601;Bergamo - Università degli studi;01 ;Mense;0;0
01/11/10;01601;Bergamo - Università degli studi;02 ;Residenze;0;0
01/11/10;01701;Brescia - Università degli studi;01 ;Mense;0;0
01/11/10;01701;Brescia - Università degli studi;02 ;Residenze;0;0
01/11/10;01801;Pavia - Università degli studi;01 ;Mense;0;0
01/11/10;01801;Pavia - Università degli studi;02 ;Residenze;0;0
01/11/10;01802;Pavia - Istituto universitario di studi superiori;01 ;Mense;0;0
01/11/10;01802;Pavia - Istituto universitario di studi superiori;02 ;Residenze;0;0
01/11/10;02101;Bolzano - Libera Università;01 ;Mense;0;0
01/11/10;02101;Bolzano - Libera Università;02 ;Residenze;0;0
01/11/10;02201;Trento - Università degli studi;01 ;Mense;0;0
01/11/10;02201;Trento - Università degli studi;02 ;Residenze;0;0
01/11/10;02301;Verona - Università degli studi;01 ;Mense;0;0
01/11/10;02301;Verona - Università degli studi;02 ;Residenze;0;0
01/11/10;02701;"Venezia - Università degli studi ""Cà Foscari""";01 ;Mense;0;0
01/11/10;02701;"Venezia - Università degli studi ""Cà Foscari""";02 ;Residenze;0;0
01/11/10;02702;Venezia - Università IUAV;01 ;Mense;0;0
01/11/10;02702;Venezia - Università IUAV;02 ;Residenze;0;0
01/11/10;02801;Padova - Università degli studi;01 ;Mense;0;0
01/11/10;02801;Padova - Università degli studi;02 ;Residenze;0;0
01/11/10;03001;Udine - Università degli studi;01 ;Mense;0;0
01/11/10;03001;Udine - Università degli studi;02 ;Residenze;0;0
01/11/10;03201;Trieste - Università degli studi;01 ;Mense;0;0
01/11/10;03201;Trieste - Università degli studi;02 ;Residenze;0;0
01/11/10;03202;Trieste - Scuola internazionale superiore di studi avanzati;01 ;Mense;0;0
01/11/10;03202;Trieste - Scuola internazionale superiore di studi avanzati;02 ;Residenze;0;0
01/11/10;03401;Parma - Università degli studi;01 ;Mense;0;0
01/11/10;03401;Parma - Università degli studi;02 ;Residenze;0;0
01/11/10;03601;Modena e Reggio Emilia - Università degli studi;01 ;Mense;0;0
01/11/10;03601;Modena e Reggio Emilia - Università degli studi;02 ;Residenze;1;275
01/11/10;03701;Bologna - Università degli studi;01 ;Mense;0;0
01/11/10;03701;Bologna - Università degli studi;02 ;Residenze;1;205
01/11/10;03801;Ferrara - Università degli studi;01 ;Mense;0;0
01/11/10;03801;Ferrara - Università degli studi;02 ;Residenze;0;0
01/11/10;04101;"Urbino - Università degli studi ""Carlo Bo""";01 ;Mense;0;0
01/11/10;04101;"Urbino - Università degli studi ""Carlo Bo""";02 ;Residenze;0;0
01/11/10;04201;Ancona - Università Politecnica delle Marche;01 ;Mense;0;0
01/11/10;04201;Ancona - Università Politecnica delle Marche;02 ;Residenze;0;0
01/11/10;04301;Macerata - Università degli studi;01 ;Mense;0;0
01/11/10;04301;Macerata - Università degli studi;02 ;Residenze;6;134
01/11/10;04302;Camerino - Università degli studi;01 ;Mense;0;0
01/11/10;04302;Camerino - Università degli studi;02 ;Residenze;0;0
01/11/10;04601;Lucca - Scuola IMT Alti Studi;01 ;Mense;1;100
01/11/10;04601;Lucca - Scuola IMT Alti Studi;02 ;Residenze;1;65
01/11/10;04801;Firenze - Università degli studi;01 ;Mense;0;0
01/11/10;04801;Firenze - Università degli studi;02 ;Residenze;0;0
01/11/10;04803;Firenze - Istituto Italiano di Scienze Umane;01 ;Mense;0;0
01/11/10;04803;Firenze - Istituto Italiano di Scienze Umane;02 ;Residenze;0;0
01/11/10;04804;"Firenze - Università telematica ""Italian University line""";01 ;Mense;0;0
01/11/10;04804;"Firenze - Università telematica ""Italian University line""";02 ;Residenze;0;0
01/11/10;05001;Pisa - Università degli studi;01 ;Mense;0;0
01/11/10;05001;Pisa - Università degli studi;02 ;Residenze;0;0
01/11/10;05002;Pisa - Scuola normale superiore;01 ;Mense;1;270
01/11/10;05002;Pisa - Scuola normale superiore;02 ;Residenze;4;296
01/11/10;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";01 ;Mense;1;121
01/11/10;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";02 ;Residenze;2;200
01/11/10;05201;Siena - Università degli studi;01 ;Mense;1;80
01/11/10;05201;Siena - Università degli studi;02 ;Residenze;2;150
01/11/10;05202;Siena - Università per stranieri;01 ;Mense;0;0
01/11/10;05202;Siena - Università per stranieri;02 ;Residenze;0;0
01/11/10;05401;Perugia - Università degli studi;01 ;Mense;0;0
01/11/10;05401;Perugia - Università degli studi;02 ;Residenze;0;0
01/11/10;05403;Perugia - Università per stranieri;01 ;Mense;0;0
01/11/10;05403;Perugia - Università per stranieri;02 ;Residenze;0;0
01/11/10;05601;Viterbo - Università della Tuscia;01 ;Mense;0;0
01/11/10;05601;Viterbo - Università della Tuscia;02 ;Residenze;0;0
01/11/10;05801;"Roma - Università degli studi ""La Sapienza""";01 ;Mense;0;0
01/11/10;05801;"Roma - Università degli studi ""La Sapienza""";02 ;Residenze;0;0
01/11/10;05802;"Roma - Università degli studi di ""Tor Vergata""";01 ;Mense;0;0
01/11/10;05802;"Roma - Università degli studi di ""Tor Vergata""";02 ;Residenze;0;0
01/11/10;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);01 ;Mense;0;0
01/11/10;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);02 ;Residenze;3;111
