ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2011-2012;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2011-2012;07001;Campobasso - Università degli studi del Molise;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;52;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;52;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;54;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;1;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;5;0;0
2011-2012;07001;Campobasso - Università degli studi del Molise;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;2;0;0
2011-2012;07101;Foggia - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);95;0;1;4;0
2011-2012;07101;Foggia - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2011-2012;07101;Foggia - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;114;1;0;0;0
2011-2012;07101;Foggia - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;07101;Foggia - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;46;0;3
2011-2012;07101;Foggia - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2011-2012;07101;Foggia - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;2;0;0
2011-2012;07101;Foggia - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2011-2012;07101;Foggia - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;07101;Foggia - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;20;0;0
2011-2012;07101;Foggia - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;2;0;0
2011-2012;07201;Bari - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2011-2012;07201;Bari - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);323;0;98;0;0
2011-2012;07201;Bari - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;6;0;12;0;0
2011-2012;07201;Bari - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;19;0;0
2011-2012;07201;Bari - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;71;;
2011-2012;07201;Bari - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);318;0;2;0;0
2011-2012;07201;Bari - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;10;0;0;0;0
2011-2012;07201;Bari - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;4;0;3;0;0
2011-2012;07201;Bari - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;47;0;0;0;0
2011-2012;07201;Bari - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;397;0;0;0;0
2011-2012;07201;Bari - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2011-2012;07201;Bari - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2011-2012;07201;Bari - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2011-2012;07201;Bari - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2011-2012;07201;Bari - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;07201;Bari - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;333;19;0;0;0
2011-2012;07201;Bari - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;228;0;0
2011-2012;07201;Bari - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2011-2012;07201;Bari - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;159;0;18
2011-2012;07201;Bari - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;10;0;0
2011-2012;07201;Bari - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;07201;Bari - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;104;0;68
2011-2012;07201;Bari - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;9;0;4
2011-2012;07202;Bari - Politecnico;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;190;0;0;0;0
2011-2012;07202;Bari - Politecnico;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);122;0;0;0;0
2011-2012;07202;Bari - Politecnico;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2011-2012;07202;Bari - Politecnico;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);62;0;0;0;0
2011-2012;07202;Bari - Politecnico;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;34;0;0;0;0
2011-2012;07202;Bari - Politecnico;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;162;2;0;0;0
2011-2012;07202;Bari - Politecnico;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;07202;Bari - Politecnico;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2011-2012;07202;Bari - Politecnico;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2011-2012;07202;Bari - Politecnico;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;72;0;0
2011-2012;07202;Bari - Politecnico;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2011-2012;07202;Bari - Politecnico;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;07202;Bari - Politecnico;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;78;0;26
2011-2012;07202;Bari - Politecnico;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;12;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);34;0;30;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;3;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);5;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;50;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;8;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;1;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;3;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;4;0;0
2011-2012;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;6;0;0
2011-2012;07501;Lecce - Università del Salento;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);244;2;34;2;0
2011-2012;07501;Lecce - Università del Salento;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;11;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;8;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;34;;
2011-2012;07501;Lecce - Università del Salento;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);147;15;1;0;0
2011-2012;07501;Lecce - Università del Salento;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;15;15;0;0;0
2011-2012;07501;Lecce - Università del Salento;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;322;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;51;12;1;0;0
2011-2012;07501;Lecce - Università del Salento;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;19;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;70;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;70;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;07501;Lecce - Università del Salento;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2011-2012;07501;Lecce - Università del Salento;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;1;0;0
2011-2012;07501;Lecce - Università del Salento;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;167;0;0
2011-2012;07501;Lecce - Università del Salento;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;4;0;0
2011-2012;07501;Lecce - Università del Salento;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2011-2012;07501;Lecce - Università del Salento;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;4;0;0
2011-2012;07501;Lecce - Università del Salento;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;25;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);70;0;42;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;12;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;38;;
2011-2012;07601;Potenza - Università degli studi della Basilicata;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);21;0;4;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;4;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;58;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;20;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;92;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;57;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;2;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;30;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;4;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;4;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;18;0;0
2011-2012;07601;Potenza - Università degli studi della Basilicata;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;1;0;0
2011-2012;07801;Arcavacata di Rende - Università della Calabria;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;28;28;0;0;0
2011-2012;07801;Arcavacata di Rende - Università della Calabria;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);304;32;145;0;0
