ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;14;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;2
2008-2009;01202;Varese - Università dell' Insubria;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;117;2;26;0;0
2008-2009;01202;Varese - Università dell' Insubria;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);63;2;0;0;0
2008-2009;01202;Varese - Università dell' Insubria;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
